"SNO","group_name","label_name","label_value_in_english","label_value_in_entered_language"
"1","","message_email","The email field is required",""
"2","","message_email_invalid","The email must be a valid email address",""
"3","","message_password","The password field is required.",""
"4","","message_confirm_password","Password  and confirm password does not match.",""
"5","","message_user_not_found","Unable to find user",""
"6","","message_account_inactive","Your account is temparory inactive please contact to your admin",""
"7","","message_account_deactive","Your account is permanently deactivate please contact to your admin",""
"8","","message_unable_generate_token","Unable to generate token",""
"9","","message_wrong_password","Wrong Password",""
"10","","message_email_not_exists","This email id is not exists",""
"11","","message_password_reset_link","Password Reset link has been sent to your registered email id",""
"12","","message_token","The token field is required",""
"13","","message_email","The email field is required",""
"14","","message_email_invalid","The email must be a valid email address",""
"15","","message_password","The password field is required.",""
"16","","message_confirm_password","Password  and confirm password does not match.",""
"17","","message_success","Password reset successfully",""
"18","","message_old_password","The old password field is required",""
"19","","message_new_password","The  new password field is required",""
"20","","message_new_password_confirm","Password  and confirm password does not match",""
"21","","message_new_password_confirmation","The confirm password field is required.",""
"22","","message_id","User id is required",""
"23","","message_role_id","Please select user role",""
"24","","message_user_type_id","User type is required",""
"25","","message_company_type_id","Company type is required",""
"26","","message_category_id","Category is is required",""
"27","","message_name","Name is required",""
"28","","message_email","Email address is required",""
"29","","message_email_invalid","Email address is invalid",""
"30","","message_password","Password is required",""
"31","","message_password_min","Password should be 8 character long",""
"32","","message_contact_number","Contact number is required",""
"33","","message_create","User Added Successfully",""
"34","","message_update","User Updated Successfully",""
"35","","message_delete","User Deleted Successfully",""
"36","","message_id_not_found","Id Not Found",""
"37","","message_id","Id is required",""
"38","","message_name","Name is required",""
"39","","message_price","Price is required",""
"40","","message_validity_in_days","Validity in days field is required",""
"41","","message_number_of_patients","No of patients field is required",""
"42","","message_number_of_employees","No of employee field is required",""
"43","","message_discount_type","The discount type field is required",""
"44","","message_discount_value","The discount value field is required",""
"45","","message_create","Package Added Successfully",""
"46","","message_update","Package Updated Successfully",""
"47","","message_delete","Package Deleted Successfully",""
"48","","message_id_not_found","Id Not Found",""
"49","","message_package_assigne","Package Assigne successfully",""
"50","","message_id","Id is required",""
"51","","message_name","Name is required",""
"52","","message_activity_class_id.required","Activity classification is field is required",""
"53","","message_category_id.required","Category field is required",""
"54","","message_title.required","Title field is required",""
"55","","message_description.required","Description is required",""
"56","","message_activity_type.required","Activity type field is required",""
"57","","message_activity_type_in.required","Please select Activity type correct option",""
"58","","message_start_date.required","Start date field is required",""
"59","","message_start_time.required","Start time field is required",""
"60","","message_end_date.required","End date must be greather than start date",""
"61","","message_end_time.required","End time must be greather than start time",""
"62","","message_create","Added Successfully",""
"63","","message_update","Updated Successfully",""
"64","","message_delete","Deleted Successfully",""
"65","","message_approve","Approved Successfully",""
"66","","message_assigne","Assigned Successfully",""
"67","","message_id_not_found","Id Not Found",""
"68","","message_name_already_exists","This name Already Exist",""
"69","","message_activity_id","Activity id field is required",""
"70","","message_user_id","User id field is required",""
"71","","message_assignment_date","Assignment date field is required",""
"72","","message_assignment_day","Assignment day field is required",""
"73","","message_id","Id is required",""
"74","","message_name","Name is required",""
"75","","message_create","Added Successfully",""
"76","","message_update","Updated Successfully",""
"77","","message_delete","Deleted Successfully",""
"78","","message_id_not_found","Id Not Found",""
"79","","message_name_already_exists","This name Already Exist",""
"80","","message_module_assigne","Moduel Assigne successfully",""
"81","","message_id","Id is required",""
"82","","message_name","Name is required",""
"83","","message_create","Added Successfully",""
"84","","message_update","Updated Successfully",""
"85","","message_delete","Deleted Successfully",""
"86","","message_id_not_found","Id Not Found",""
"87","","message_name_already_exists","This name Already Exist",""
"88","","message_id","Id is required",""
"89","","message_name","Name is required",""
"90","","message_create","Added Successfully",""
"91","","message_update","Updated Successfully",""
"92","","message_delete","Deleted Successfully",""
"93","","message_id_not_found","Id Not Found",""
"94","","message_name_already_exists","This name Already Exist",""
"95","","message_id","Id is required",""
"96","","message_category_type_id","Category type Id is required",""
"97","","message_name","Name is required",""
"98","","message_create","Added Successfully",""
"99","","message_update","Updated Successfully",""
"100","","message_delete","Deleted Successfully",""
"101","","message_id_not_found","Id Not Found",""
"102","","message_parent_id_not_found","Parent id Not Found",""
"103","","message_name_already_exists","This name Already Exist",""
"104","","message_user_id","User Id is required",""
"105","","message_salary_per_month","Salary per month field is required",""
"106","","message_salary_package_start_date","Package Start date  is required",""
"107","","message_salary_package_end_date","Package End date is required",""
"108","","message_salary_package_end_date_after","Package end date must be grether then package start date",""
"109","","message_update","Salary Updated Successfully",""
"110","","message_id","Id is required",""
"111","","message_bank_name","Bank Name is required",""
"112","","message_account_number","Account Number is required",""
"113","","message_clearance_number","Clearance Number is required",""
"114","","message_create","Added Successfully",""
"115","","message_update","Updated Successfully",""
"116","","message_delete","Deleted Successfully",""
"117","","message_id_not_found","Id Not Found",""
"118","","message_name_already_exists","This name Already Exist",""
"119","","message_id","Id is required",""
"120","","message_name","Name is required",""
"121","","message_create","Added Successfully",""
"122","","message_update","Updated Successfully",""
"123","","message_delete","Deleted Successfully",""
"124","","message_id_not_found","Id Not Found",""
"125","","message_name_already_exists","This name Already Exist",""
"126","","message_id","Id is required",""
"127","","message_shift_name","Shift Name is required",""
"128","","message_shift_start_time","Shift start time is required",""
"129","","message_shift_end_time","Shift end time is required",""
"130","","message_shift_end_time_after","Shift End time must be greather than start time",""
"131","","message_create","Added Successfully",""
"132","","message_update","Updated Successfully",""
"133","","message_delete","Deleted Successfully",""
"134","","message_id_not_found","Id Not Found",""
"135","","message_name_already_exists","This name Already Exist",""
"136","","message_user_id","User id is required",""
"137","","message_shift_id","Shift id is required",""
"138","","message_shift_start_date","Shift start date is required",""
"139","","message_shift_end_date","Shift end date is required",""
"140","","message_shift_end_date_after","Shift End date must be greather than start date",""
"141","","message_shift_already_assigne","This shift is already assigne to this user",""
"142","","message_shift_already_assigne_date","shift is already assigne to this user on this date.",""
"143","","message_id","Id is required",""
"144","","message_user_id","User Id is required",""
"145","","message_category_id","Category id is required",""
"146","","message_subcategory_id","Subcategory id is required",""
"147","","message_what_happened","What happend field is required",""
"148","","message_how_it_happened","How is happend field is required",""
"149","","message_when_it_started","When it started field is required",""
"150","","message_what_to_do","What to do field required",""
"151","","message_goal","Goal field is required",""
"152","","message_sub_goal","Sub goal field required",""
"153","","message_plan_start_date","Plan start date is required",""
"154","","message_plan_start_time","Plan start time is required",""
"155","","message_remark","Remark field is required",""
"156","","message_create","Added Successfully",""
"157","","message_update","Updated Successfully",""
"158","","message_delete","Deleted Successfully",""
"159","","message_assigne","Ip Assigne successfully",""
"160","","message_approve","Ip Approve successfully",""
"161","","message_id_not_found","Id Not Found",""
"162","","message_ip_id","Ip id is required",""
"163","","message_patient_already_assigne","This Patient plan is already assigne to this employee.",""
"164","","message_id","Id is required",""
"165","","message_ip_id","Ip id  is required",""
"166","","message_title","Title field is required",""
"167","","message_description","Description field is required",""
"168","","message_follow_up_type","Follow up type is required",""
"169","","message_start_date","Start date field is required",""
"170","","message_start_time","Start time  field is required",""
"171","","message_create","Added Successfully",""
"172","","message_update","Updated Successfully",""
"173","","message_delete","Deleted Successfully",""
"174","","message_approve","Approved Successfully",""
"175","","message_id_not_found","Id Not Found",""
"176","","message_ip_not_found","Ip Not Found",""
"177","","message_approve","Approved Successfully",""
"178","","message_id_not_found","Id Not Found",""
"179","","message_id","Id is required",""
"180","","message_activity_id","Activity id field is required",""
"181","","message_category_id","Category id field is required",""
"182","","message_title","Title field is required",""
"183","","message_description","Description field is required",""
"184","","message_create","Added Successfully",""
"185","","message_update","Updated Successfully",""
"186","","message_delete","Deleted Successfully",""
"187","","message_id","Id is required",""
"188","","message_category_id","Category id field is required",""
"189","","message_sub_category_id","Subcategory field is required",""
"190","","message_description","Description field is required",""
"191","","message_date_time","date and time field is required",""
"192","","message_immediate_action","Immediate action field is required",""
"193","","message_create","Added Successfully",""
"194","","message_update","Updated Successfully",""
"195","","message_delete","Deleted Successfully",""
"196","","message_approve","Approved Successfully",""
"197","","message_id_not_found","Id Not Found",""
"198","","message_se_name","Se name field is required",""
"199","","message_permissions","Permissions id field is required",""
"200","","message_create","Added Successfully",""
"201","","message_update","Updated Successfully",""
"202","","message_delete","Deleted Successfully",""
"203","","message_id_not_found","Id Not Found",""
"204","","message_role_not_found","Role Not Found",""
"205","","message_name","Name field is required",""
"206","","message_name_unique","Name field must be unique",""
"207","","message_se_name","Se name field is required",""
"208","","message_se_name_unique","Se name field must be unique",""
"209","","message_group_name","Group name field is required",""
"210","","message_create","Added Successfully",""
"211","","message_update","Updated Successfully",""
"212","","message_delete","Deleted Successfully",""
"213","","message_id_not_found","Id Not Found",""
"214","","message_per_not_found","Permission Not Found",""
"215","","login-successful","Login Successful",""
"216","","categories-browse","Categories Browse",""
"217","","work-to","Work To",""
"218","","overall-goal","Overall Goal",""
"219","","witnessed_by","Witnessed By",""
"220","","abc","ABC",""
"221","","categories-read","Categories Read",""
"222","","persons-assign","Persons Assign",""
"223","","overall-goal-details","Write more details.",""
"224","","first-name","First Name",""
"225","","Home","Home",""
"226","","categories-add","Categories Add",""
"227","","role-id","Role",""
"228","","treatment","Treatment",""
"229","","last-name","Last Name",""
"230","","activity","Activity",""
"231","","categories-edit","Categories Edit",""
"232","","hours","Hours",""
"233","","working_method","Working Method",""
"234","","more-witness","More Witness",""
"235","","Examples","Examples",""
"236","","categories-delete","Categories Delete",""
"237","","person-type","Person Type",""
"238","","ip-file","Documents / Decisions",""
"239","","edit-history","Change Logs",""
"240","","my-activity","My Activity",""
"241","","licenses-browse","Licenses Browse",""
"242","","please-select-person-type","Please Select At Least One Person Type.",""
"243","","ip-file-details","Upload Documents",""
"244","","download","Download",""
"245","","filter","Filter",""
"246","","licenses-read","Licenses Read",""
"247","","personal-info","Personal Info",""
"248","","add-event","Add Event",""
"249","","sign-ip","Sign IP?",""
"250","","all-companies","All Companies",""
"251","","licenses-add","Licenses Add",""
"252","","enter-personal-info","Enter Personal Info, All fields are required.",""
"253","","goals","Goals",""
"254","","ip-sign-failed","IP Sign Failed",""
"255","","companies","Companies",""
"256","","licenses-edit","Licenses Edit",""
"257","","add-person-optional","You can add multiple persons. Click on the add person button to add a person",""
"258","","ip-for","Implementation Plan",""
"259","","ip-sign-successfully","IP Signed Successfully",""
"260","","categories","Categories",""
"261","","licenses-delete","Licenses Delete",""
"262","","person","Person",""
"263","","write-patient-goal","Write Patient's Goal",""
"264","","sign-failed","Sign Failed",""
"265","","manage-categories","Manage Categories",""
"266","","modules-browse","Modules Browse",""
"267","","added-persons","Added Persons",""
"268","","write-patient-sub-goal","Write Patient's Sub Goal",""
"269","","deviation-date","Deviation Date",""
"270","","manage-category-types","Manage Category Types",""
"271","","modules-read","Modules Read",""
"272","","edit-persons-info","Add more persons or edit. Click on next to continue.",""
"273","","please-enter-required-fields-denoted-with-start","Please enter required fields denoted with start/asterisk (*)",""
"274","","completed-date","Completed Date",""
"275","","create-new","Create New",""
"276","","modules-add","Modules Add",""
"277","","please-select-question","Please Select at least one question.",""
"278","","select-add-patient","Please select a patient or click on + button to create a new patient.",""
"279","","save-print","Save & Print",""
"280","","category-type","Category Types",""
"281","","modules-edit","Modules Edit",""
"282","","under-development","Under Development",""
"283","","write-goal-or-choose","Choose from suggested goals or write the user's own.",""
"284","","created-date","Created Date",""
"285","","enter-category-name","Enter Category Name",""
"286","","modules-delete","Modules Delete",""
"287","","personal-details","Personal Details",""
"288","","select-template-or-write-description","Write title of the implementation plan",""
"289","","incident-date","Incident Date",""
"290","","save","Save",""
"291","","packages-browse","Packages Browse",""
"292","","work-type","Work Type",""
"293","","enter-title","Enter Title",""
"294","","type","Type",""
"295","","no.-of-employees","No. of employees",""
"296","","packages-read","Packages Read",""
"297","","red-word","Red Words",""
"298","","living-an-independent-life","Living an independent life",""
"299","","active-this-journal","Active this journal",""
"300","","not-done","Not Done",""
"301","","packages-add","Packages Add",""
"302","","enter-paragraph","Enter Paragraph",""
"303","","not-specified","Not Specified",""
"304","","activity-calender","Activity Calender",""
"305","","process","Process",""
"306","","packages-edit","Packages Edit",""
"307","","paragraph","Paragraph",""
"308","","good-living-conditions","Good Living Conditions",""
"309","","with-deviation","With Deviation",""
"310","","no.-of-patients","No. of patients",""
"311","","packages-delete","Packages Delete",""
"312","","paragraphs","Paragraphs",""
"313","","full-participation","Full Participation",""
"314","","with-journal","With Journal",""
"315","","completed","Completed",""
"316","","userType-add","User Type Add",""
"317","","edit-paragraph","Edit Paragraph",""
"318","","living-like-others","Living Like Others",""
"319","","linked-activity","Linked Activity",""
"320","","data-fetch-failed","Data loading failed, Please check the internet connection or contact the administration.",""
"321","","userType-browse","User Type Browse",""
"322","","create-paragraph","Create Paragraph",""
"323","","bank-name","Bank Name",""
"324","","activity-stats","Activity Stats",""
"325","","data-save-failed","Date save failed, Please try again later",""
"326","","userType-edit","User Type Edit",""
"327","","enter-word","Enter Word",""
"328","","account-number","Account Number",""
"329","","activity-report","Activity Report",""
"330","","data-saved","Data Saved Successfully",""
"331","","userType-read","User Type Read",""
"332","","hours-allocation","Hours Allocation",""
"333","","clearance-number","Clearance Number",""
"334","","total-journal","Total Journal",""
"335","","no.-of-implementation","No. of implementation",""
"336","","userType-delete","User Type Delete",""
"337","","license-key","License Key",""
"338","","create-bankDetail","Create Bank Detail",""
"339","","stats","Stats",""
"340","","no.-of-follow up","No. of Follow up",""
"341","","companyType-browse","Company Type Browser",""
"342","","create-branch","Create Branch",""
"343","","edit-bankDetail","Edit Bank Detail",""
"344","","total-deviation","Total Deviation",""
"345","","no.-of-activity","No. of Activity",""
"346","","companyType-read","Company Type Read",""
"347","","question","Question",""
"348","","view-bankDetail","View Bank Detail",""
"349","","total_completed","Total Completed",""
"350","","no.-of-department","No. of Department",""
"351","","companyType-add","Company Type Add",""
"352","","answer","Answer",""
"353","","menu","Menu",""
"354","","total_signed","Total Signed",""
"355","","no.-of-branches","No. of Branches",""
"356","","companyType-edit","Company Type Edit",""
"357","","remarks","Remarks",""
"358","","tag-input","Tag Input",""
"359","","with_activity","With Activity",""
"360","","delete","Delete",""
"361","","companyType-delete","Company Type Delete",""
"362","","followups-history","Followups History",""
"363","","action","Action",""
"364","","without_activity","Without Activity",""
"365","","Dashboards","Dashboards",""
"366","","activate","Activate",""
"367","","settings-browse","Settings Browse",""
"368","","complete-followups","Complete Followups",""
"369","","This-option-will-create-Journal","This option will create Journal",""
"370","","import-patient","Import Patient",""
"371","","Analytics","Analytics",""
"372","","deactivate","Deactivate",""
"373","","settings-read","Settings Read",""
"374","","edit-followups","Edit Followups",""
"375","","This-option-will-create-Deviation-&-Journal","This option will create Deviation & Journal",""
"376","","do-you-want-to-active-this-journal","Do You Want To Active This Journal",""
"377","","Apps","Apps",""
"378","","status","Status",""
"379","","settings-add","Settings Add",""
"380","","create-followups","Create Followups",""
"381","","implementation-plan","Implementation  Plan",""
"382","","completed-on","Completed On",""
"383","","Ecommerce","E-commerce",""
"384","","active","Active",""
"385","","settings-edit","Settings Edit",""
"386","","edit-implementations","Update Implementations",""
"387","","completed-task","No. of Task completed",""
"388","","completed-by","Completed By",""
"389","","email","Email",""
"390","","inactive","Inactive",""
"391","","settings-delete","Settings Delete",""
"392","","activity-type","Activity Type",""
"393","","no-of-task","No. of Task",""
"394","","approve","Approve",""
"395","","logs","Logs",""
"396","","Masters","Masters",""
"397","","employees-browse","Employee Browse",""
"398","","add-reminder","Add Reminders",""
"399","","ip-completed","No. of IP completed",""
"400","","click-yes-to-approve-ip","Click Yes To Approve IP",""
"401","","Chat","Chat",""
"402","","licenses","Licenses",""
"403","","employees-read","Employee Read",""
"404","","add-emergency-reminder","Add Emergency Reminders",""
"405","","saved","Saved",""
"406","","not-completed","Not Completed",""
"407","","inactive-this-journal","Inactive this journal",""
"408","","modules","Modules",""
"409","","employees-add","Employee Add",""
"410","","add-reminder-details","Add reminder details to get notifications.",""
"411","","completed-by-staff-not-on-time","Completed by staff not on time",""
"412","","completed-date-&-completed-by","Completed Date & Completed By",""
"413","","sign-this-journal","Sign This Journal",""
"414","","roles","Roles",""
"415","","employees-edit","Employee Edit",""
"416","","add-reminder-to-emergency","Add reminder to emergency numbers.",""
"417","","completed-by-staff-on-time","Completed by staff on time",""
"418","","complete-this-deviation     ","Do you want to Sign it.",""
"419","","edited-at","Edited At",""
"420","","packages","Packages",""
"421","","employees-delete","Employee Delete",""
"422","","before-start","Before Start",""
"423","","pending-task","No. of Task pending",""
"424","","dataset-total-activity","Total Activity",""
"425","","sign-at","Sign At",""
"426","","are-you-sure","Are You Sure",""
"427","","patients-browse","Patients Browse",""
"428","","after-end","After End",""
"429","","ip-pending","No. of IP pending",""
"430","","dataset-total-completed-by-patient-itself","Completed By Patient Itself",""
"431","","personal-no","Personal no",""
"432","","delete-this","Delete {{name}}?",""
"433","","patients-read","Patients Read",""
"434","","on-start","On Start",""
"435","","no.-of-ip","No. of IP",""
"436","","dataset-total-completed-by-staff-not-0n-time","Completed By Staff Not On TIme",""
"437","","sign-by","Sign By",""
"438","","you-wont-be-able-to-revert-this","You won't be able to revert this!",""
"439","","patients-add","Patients Add",""
"440","","time","Time",""
"441","","no.-of-activity-completed","No. of activity completed",""
"442","","dataset-total-completed-by-staff-on-time","Completed By Staff On Time",""
"443","","not-signed","Not Signed",""
"444","","deleted","Deleted!",""
"445","","patients-edit","Patients Edit",""
"446","","time-in-minute","Time in minutes",""
"447","","no.-of-activity-pending","No. of activity pending",""
"448","","dataset-total-compulsory","Compulsory",""
"449","","total-active","Total active",""
"450","","item-deleted","Delete Successful",""
"451","","patients-delete","Patients Delete",""
"452","","enable","Enable",""
"453","","create-followup","Create Followup",""
"454","","dataset-total-not-done-by-employee","Not Done By Employee",""
"455","","total-secret","Total secret",""
"456","","yes","Yes",""
"457","","nurses-browse","Nurses Browse",""
"458","","time-limit-reminder","Please enter a valid time in minutes from 1 to 240",""
"459","","create-activity","Create Activity",""
"460","","dataset-total-patient-did-not-want","Patient Did Not Want",""
"461","","click-to-sign","Click to sign",""
"462","","change-status","Change Status",""
"463","","nurses-read","Nurses Read",""
"464","","you-will-be-reminded-immediately","You will be reminded immediately",""
"465","","create-task","Create Task",""
"466","","deviation-completed","Deviation is Signed",""
"467","","edit-action/result","Edit Action/Result",""
"468","","data-edited","Data Updated Successfully",""
"469","","nurses-add","Nurses Add",""
"470","","you-will-be-reminded-in","You will be reminded in",""
"471","","already-saved","This {{item}} is already saved.",""
"472","","completed-failed","Failed to complete this action",""
"473","","total-signed","Total signed",""
"474","","unable-to-create","Unable to create, Please retry.",""
"475","","nurses-edit","Nurses Edit",""
"476","","you-will-be-reminded-before","You will be reminded before",""
"477","","decision-document","Decisions & Documents",""
"478","","completed-at","Completed At",""
"479","","with-activity","With activity",""
"480","","unable-to-update","Unable to update, Please retry.",""
"481","","nurses-delete","Nurses Delete",""
"482","","you-will-be-reminded-after","You will be reminded after",""
"483","","seasonal-or-regular","Seasonal or Regular?",""
"484","","&-completed-by","& Completed By",""
"485","","without-activity","Without activity",""
"486","","refresh-data","Refresh Data",""
"487","","departments-browse","Departments Browse",""
"488","","you-will-be-reminded-emergency","You will be reminded in emergency after",""
"489","","date-&-time","Date/Time & Repeater",""
"490","","with_or_without_activity","With Activity",""
"491","","no-activity-found","no activity found",""
"492","","close","Close",""
"493","","departments-read","Departments Read",""
"494","","remind-on-emergency","To Emergency Number.",""
"495","","date-time-repeat-details","Add Date/Time & Repeater",""
"496","","action-stats","Action Stats",""
"497","","result","Result",""
"498","","done","Done",""
"499","","departments-add","Departments Add",""
"500","","on-device","Send as Notification",""
"501","","add-date-&-time","Add Date and Time",""
"502","","patient-stats","Patient Stats",""
"503","","Todo","Todo",""
"504","","create-new-category","Create New Category",""
"505","","departments-edit","Departments Edit",""
"506","","on-text","Send as Text Message",""
"507","","ip-patient","IP & Patient",""
"508","","read-all-notifications","Read All Notifications",""
"509","","activity-note","Activity note",""
"510","","parent-category","Parent Category",""
"511","","departments-delete","Departments Delete",""
"512","","remind-on-device","Remind as Notification",""
"513","","select-ip-patient","Select IP and Patient",""
"514","","ip-with","IP With",""
"515","","please-select-patient","Please select patient",""
